t_s,x_eci_m,y_eci_m,z_eci_m,vx_eci_mps,vy_eci_mps,vz_eci_mps,x_ecef_m,y_ecef_m,z_ecef_m,lat_rad,lon_rad,alt_m,altitude_m,sun_hat_x,sun_hat_y,sun_hat_z,moon_hat_x,moon_hat_y,moon_hat_z,eclipse_flag,solar_flux_w_m2,gs_range_m,gs_elevation_rad,gs_azimuth_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,earth_view_scale,earth_ir_flux_w_m2,albedo_flux_w_m2,b_eci_x_t,b_eci_y_t,b_eci_z_t,atmospheric_density_kg_m3
0.0,-1.2634932691720468e-09,-3079748.3491500923,-6150115.340111622,9985.932516135252,-8.21363021742017e-13,-1.6402240531146167e-12,-1.2634932691720468e-09,-3079748.3491500923,-6150115.340111622,-1.1090215203992158,-1.570796326794897,517112.82705025654,500000.00000000093,-0.24143449401004236,0.8903683513808289,0.38594505303410676,0.9918694085703038,-0.12725688431710538,0.0008727750561162371,True,0.0,12297673.03536366,-1.1771974329649066,3.835497219851254,False,383952102.09101576,False,0.8598962264831955,203.79540567651733,0.0,1.225912470625574e-20,2.9881456432970684e-05,3.479342017787065e-05,9.999999999999844e-13
60.0,598718.1418818947,-3072993.881721562,-6136589.185406217,9964.065884924265,224.88992790180097,450.35205183380015,585267.279295537,-3075584.0132083306,-6136589.185406217,-1.1015431083249152,-1.3827499817983624,527931.1999464501,510947.2381960461,-0.24144570762702516,0.8903657915678046,0.3859439434352116,0.9918601565641986,-0.12732868239043524,0.000914582505386671,True,0.0,12097661.482703095,-1.1343598938220554,3.8003634519386424,False,383359998.8070728,False,0.8571655269757197,203.14822989324557,0.0,-5.750417424021472e-06,2.9514718738636267e-05,3.417911145695827e-05,8.332229963550717e-13
120.0,1194826.4724067065,-3052823.184943404,-6096196.77416913,9899.173069526536,446.70429891558615,894.5317527753077,1168067.2232561721,-3063161.546449429,-6096196.77416913,-1.079967128704083,-1.206489977705346,560241.36161213,543636.9638825217,-0.24145692121176798,0.8903632316358906,0.3859428337847818,0.9918466145166895,-0.12743432703202362,0.0008863214297786935,True,0.0,11896532.73575895,-1.0904986954830067,3.771045825178798,False,382772161.3663046,False,0.8490883088131608,201.23392918871912,0.0,-1.113356188479831e-05,2.8446637765274614e-05,3.239431757822956e-05,4.832202469806985e-13
180.0,1785798.770747101,-3019509.177797473,-6029485.813931645,9793.312810729589,662.5389699588908,1326.7114203394617,1746012.5815119308,-3042688.4476737133,-6029485.813931645,-1.0465123486731986,-1.0498351837164865,613616.300565104,597621.8909600358,-0.241468134764352,0.8903606715850682,0.38594172408280913,0.9918289431594913,-0.12757242976590927,0.0007890974266037616,True,0.0,11695234.786899084,-1.0457500871917573,3.7462497523267957,False,382191067.4117517,False,0.835997087436906,198.13130972254672,0.0,-1.5831164808839493e-05,2.6768048124210988e-05,2.9603053040593955e-05,1.9651205204317414e-13
240.0,2369268.717094919,-2973490.0432221363,-5937335.609103153,9649.718496606498,869.8115497037987,1741.7102524018608,2316869.2686945344,-3014497.3184139077,-5937335.609103153,-1.0039834740356348,-0.9155124045269624,687369.5892381659,672184.3704107199,-0.24147934828472056,0.8903581114153505,0.38594061432929944,0.9918073362646583,-0.1277412119495777,0.0006249009971131737,True,0.0,11494817.597770313,-1.0002220882154507,3.7250291846717123,False,381619021.3540494,False,0.8184079882395277,193.96269321276804,0.0,-1.961185752445894e-05,2.46133596654978e-05,2.6047024303957365e-05,5.6713698185965624e-14
300.0,2943092.81712265,-2915346.33202119,-5820911.033004421,9472.535521081723,1066.3739314679942,2135.2204000822658,2878616.5654065167,-2979027.733203491,-5820911.033004421,-0.9551026318039497,-0.8025383872334723,780590.1897215517,766374.5172404153,-0.24149056177289982,0.8903555511267315,0.3859395045242499,0.9917820134911861,-0.12793858098900449,0.00039649702239169033,True,0.0,11296403.334307518,-0.9540021645125342,3.7066804377528224,False,381058093.83354014,False,0.7969711595983234,188.88216482480266,0.0,-2.2350621099753623e-05,2.2139906992558396e-05,2.200729175266479e-05,1.1800949468205776e-14
360.0,3505395.989091346,-2845772.686813101,-5681605.697983368,9266.512434528471,1250.5780234064982,2503.938814840443,3429490.6456600917,-2936803.898233432,-5681605.697983368,-0.9021699000384432,-0.7081622351982558,892185.6179840313,879057.1225728719,-0.24150177523639008,0.8903529907174986,0.3859383946669183,0.9917532126760156,-0.12816221610532294,0.00010728361491969316,True,0.0,11101154.85119601,-0.9071625223107403,3.6906714371162184,False,380510078.8237942,False,0.7724141242674128,183.06214745137686,0.0,-2.402823408616699e-05,1.9506752585887007e-05,1.7765179705450905e-05,1.8042348018992316e-15
420.0,4054598.2676600553,-2765547.068928973,-5520980.126107095,9036.687132533752,1421.2938537514724,2845.6032671866533,3968009.9520235835,-2888410.414607895,-5520980.126107095,-0.8469853612467266,-0.6292222436540977,1020929.2193927364,1008962.5157397911,-0.24151298866013096,0.8903504301910906,0.38593728475879535,0.9917211821470792,-0.12840965627343393,-0.00023886510496221437,True,0.0,10910244.915557638,-0.8597641292265157,3.6765937703653795,False,379976469.6813174,False,0.7454865075237653,176.6803022831324,0.0,-2.4714489553677647e-05,1.6857177859125805e-05,1.357036839763755e-05,2.0701721670633253e-16
480.0,4589423.42183707,-2675500.1879217466,-5340700.350598913,8788.10276169111,1577.886363747365,3158.9453037641824,4492983.198102745,-2834468.3067627354,-5340700.350598913,-0.7908977213674295,-0.5628061225223815,1165507.503960792,1154736.8762416122,-0.24152420205170555,0.8903478695457759,0.3859361747991303,0.9916861737821955,-0.1286783820028151,-0.0006377572946244212,True,0.0,10724828.132488793,-0.8118600542353811,3.6641296191479045,False,379458453.1452962,False,0.7169127346026415,169.90831810082602,0.0,-2.454201620030228e-05,1.4307280658275768e-05,9.620612926346861e-06,1.823292977051509e-17
540.0,5108892.029948726,-2576487.2979747476,-5142481.297293609,8525.576426992366,1720.1615914553258,3443.5817334633607,5003502.457624983,-2775613.0362209333,-5142481.297293609,-0.734889923919161,-0.5064705088661597,1324564.1943905083,1314988.4028069368,-0.2415354154110848,0.8903453087815615,0.385935064787926,0.9916484369316414,-0.12896588787908003,-0.0010850320700728957,True,0.0,10546016.830768235,-0.763498412586621,3.65302855660433,False,378956918.58138967,False,0.6873565308672109,162.903497815529,0.0,-2.3677877303048046e-05,1.1941092071761815e-05,6.053717998512602e-06,0.0
600.0,5612302.555403033,-2469363.837292631,-4928037.908030684,8253.531328045323,1848.2944002978475,3699.8691270833583,5498924.759609672,-2712475.6630177735,-4928037.908030684,-0.6796623035549124,-0.4582522070105787,1496738.6624803264,1488326.967838374,-0.24154662873821212,0.89034274789846,0.3859339547251883,0.9916082135904103,-0.12926974143723738,-0.0015762895625309615,True,0.0,10374861.498338923,-0.7147250253745465,3.64309099790278,False,378472478.8408162,False,0.6573982921949619,155.80339525020597,0.0,-2.2298451559275007e-05,9.811122861700561e-06,2.9495746080611493e-06,0.0
660.0,6099204.271202862,-2354965.672516532,-4699045.530289606,7975.892100374099,1962.7489894747182,3928.7439410600173,5978845.898221559,-2645667.7391368942,-4699045.530289606,-0.6257013904585251,-0.416603423428735,1680697.476200088,1673396.0811172351,-0.24155784203316857,0.8903401868964529,0.38593284461090904,0.9915657347844038,-0.12958762794946269,-0.0021071981152880094,True,0.0,10212335.769363033,-0.6655858063714417,3.6341562136758405,False,378005498.8478823,False,0.6275242649850675,148.723250801461,0.0,-2.0570616268409267e-05,7.942527093794182e-06,3.387476795426482e-07,0.0
720.0,6569365.626630445,-2234094.1009000833,-4457109.872132838,7696.0356408202215,2064.2010332613077,4131.566042806612,6443069.916681754,-2575770.0279296567,-4457109.872132838,-0.5733335432409757,-0.38031129280930615,1875158.6986942021,1868896.9880646896,-0.24156905529589767,0.8903376257755532,0.3859317344450938,0.991521218108349,-0.12991738153790738,-0.0026735772420863704,True,0.0,10059325.556602003,-0.6161288419420146,3.6260935240386147,False,377556128.3332502,False,0.5981252245668494,141.7556782223433,0.0,-1.8639970941065665e-05,6.339036596101822e-06,-1.7859005980919808e-06,0.0
780.0,7022741.0353214145,-2107505.3164751125,-4203745.925025286,7416.7858518109615,2153.467360445163,4309.977495010304,6891577.128951584,-2503324.785933619,-4203745.925025286,-0.5227658608075307,-0.34842451506172467,2078909.2604235606,2073605.4304296486,-0.24158026852642545,0.8903350645357551,0.38593062422774,0.9914748662633848,-0.13025700416528344,-0.0032714574563369532,False,1361.0,9916621.696903113,-0.5664061152427554,3.618795744084393,False,377124335.7747581,False,0.5695019039510861,134.97195123640742,0.0,-1.662528986272194e-05,4.989203873160145e-06,-3.457289831405104e-06,0.0
840.0,7459438.350788541,-1975903.7848004336,-3940364.7329099122,7140.439822326261,2231.4464503830254,4465.783151384887,7324492.853700557,-2428831.141123856,-3940364.7329099122,-0.47411720089117415,-0.32019334935835286,2290816.205048929,2286382.0578798857,-0.24159148172469525,0.8903325031770712,0.3859295139588534,0.9914268664152821,-0.13060467453053337,-0.003897119544986734,False,1361.0,9784915.445027852,-0.5164748258673586,3.6121742462836712,False,376709941.3363341,False,0.5418745627470098,128.42427137104133,0.0,-1.4617652223127585e-05,3.87201730134562e-06,-4.723613642130455e-06,0.0
900.0,7879688.49562862,-1839938.837102957,-3668266.619195922,6868.814000859658,2299.0707741916412,4600.8550979615175,7742058.2610299,-2352742.9938776745,-3668266.619195922,-0.4274416863595579,-0.29502282332027735,2509832.758972035,2506177.588190181,-0.24160269489081582,0.8903299416994769,0.38592840363842285,0.9913773901864381,-0.1309587490664789,-0.004547116676502627,False,1361.0,9664796.159683488,-0.46639827448268856,3.606155200216236,False,376312647.4012433,False,0.5153945602645789,122.14851078270519,0.0,-1.2682582053769125e-05,2.9614337277952498e-06,-5.640034092334292e-06,0.0
960.0,8283818.5048676515,-1700203.7562087579,-3388639.407245637,6603.3001994346905,2357.270799638828,4717.060544534592,8144604.550141586,-2275468.8650972764,-3388639.407245637,-0.38274650345540323,-0.2724370156104228,2735000.5823340155,2732034.176577978,-0.24161390802470303,0.8903273801029913,0.38592729326645714,0.9913265940858252,-0.1313177572930473,-0.005218283024293826,False,1361.0,9556750.756460402,-0.4162462562640582,3.600676675431695,False,375932065.50625753,False,0.49015632642862583,116.16704936358433,0.0,-1.086377156410481e-05,2.2297235518899136e-06,-6.2627077800208896e-06,0.0
1020.0,8672227.547976688,-1557236.751598496,-3102560.4246573816,6344.926607327258,2406.9486482402835,4816.2091107283295,8532529.996776523,-2197373.1586882574,-3102560.4246573816,-0.3400054083906744,-0.25205204832888534,2965448.5237207003,2963083.3770741317,-0.24162512113388454,0.8903248183858947,0.3859261828422104,0.9912746202966509,-0.13168039284232635,-0.00590773193545724,False,1361.0,9461164.34429769,-0.366095046957011,3.5956863970498043,False,375567740.1522107,False,0.466208782892541,110.49148154553221,0.0,-9.187348744998165e-06,1.649734977122619e-06,-6.644889116557015e-06,0.0
1080.0,9045367.097223591,-1411523.1950649857,-2811001.02709253,6094.415504533775,2448.960905315453,4900.018477487993,8906281.029894432,-2118778.391027285,-2811001.02709253,-0.29916889826746634,-0.2335556601167115,3200389.661570167,3198542.5095198248,-0.241636334203328,0.8903222565516213,0.3859250723671716,0.9912215975493437,-0.1320455027741467,-0.006612847257392936,False,1361.0,9378322.069025509,-0.3160268899895649,3.5911399805472897,False,375219168.38608766,False,0.4435655201515267,105.12502827591183,0.0,-7.66601760076563e-06,1.1962766730140197e-06,-6.834690759503099e-06,0.0
1140.0,9403724.220865667,-1263498.7072225194,-2514832.8214619267,5852.238164812919,2484.107713540072,4970.092642828862,9266336.314402195,-2039968.0177982536,-2514832.8214619267,-0.2601718701488676,-0.21669173681721524,3439116.684250961,3437709.490504563,-0.24164754724053358,0.8903196945984577,0.3859239618405978,0.9911676422405351,-0.13241207447668973,-0.0073312692024079034,False,1361.0,9308411.826079128,-0.2661291097978841,3.586999539842466,False,374885816.2010128,False,0.4222135542259812,100.06461235155756,0.0,-6.302713904800024e-06,8.46842238635444e-07,-6.874056466735417e-06,0.0
1200.0,9747807.841823341,-1113552.7736647876,-2214834.9440128678,5618.66347566578,2513.127196464773,5027.910856111342,9613193.68301166,-1961189.6169809415,-2214834.9440128678,-0.2229393519630104,-0.2012485360259068,3680996.3088454287,3679956.8218963575,-0.24165876024552732,0.8903171325263979,0.3859228512624865,0.9911128594763285,-0.1327792229022784,-0.008060877503247816,False,1361.0,9251527.837450167,-0.2164929013843272,3.583232581502143,False,374567131.9322769,False,0.4021206002646223,95.30258226271549,0.0,-5.093628811886118e-06,5.818769290012701e-07,-6.798553666887605e-06,0.0
1260.0,10078138.115496915,-962032.467042508,-1911701.5435744242,5393.799422879202,2536.6936605774144,5074.82411442692,9947360.091489272,-1882658.108346321,-1911701.5435744242,-0.1873907152692596,-0.1870496455527417,3925463.5850770567,3924725.569906503,-0.24166997321833533,0.8903145703354359,0.3859217406328352,0.9910573441034073,-0.13314617789099162,-0.008799773390307413,False,1361.0,9207675.08466443,-0.1672118051504538,3.579811111393594,False,374262556.5464744,False,0.3832409194039517,90.82809789873656,0.0,-4.0305864621054855e-06,3.8474914645246306e-07,-6.6376733255845735e-06,0.0
1320.0,10395237.718959702,-809246.3246745523,-1606049.571687011,5177.629294509727,2555.4184005274933,5112.056866137565,10269343.383654173,-1804559.0365183507,-1606049.571687011,-0.15344279015857434,-0.17394702158885017,4172015.7841584673,4171519.0168755185,-0.24168118615884582,0.8903120080255974,0.3859206299516548,0.9910011817515189,-0.13351227164035287,-0.009546260447200635,False,1361.0,9176774.567252927,-0.11838006004781636,3.5767109206377525,False,373971532.0014178,False,0.3655199524484174,86.62822873027493,0.0,-3.1028390913283593e-06,2.415491784410377e-07,-6.415408652553856e-06,0.0
1380.0,10699625.316726143,-655468.0396421656,-1298426.193517614,4970.041021952081,2569.8522541925236,5140.712205558309,10579646.158122087,-1727051.6605625707,-1298426.193517614,-0.1210120937156026,-0.16181556449603274,4420206.559651586,4419896.656612299,-0.24169239906719514,0.8903094455968511,0.38591951921893186,0.9909444497685153,-0.1338769272589281,-0.010298826179810776,False,1361.0,9158669.30615925,-0.07009084486179584,3.5739110012860738,False,373693507.4575185,False,0.34889788226593543,82.68879809702669,0.0,-2.2983694107021193e-06,1.4080004181561348e-07,-6.150955689662561e-06,0.0
1440.0,10991810.641977096,-500939.9594733729,-989315.8091538213,4770.851403810217,2580.4892433956643,5161.779230865797,10878761.181751993,-1650271.8510851841,-989315.8091538213,-0.09001640480920232,-0.15054886869196946,4669640.3863033615,4669468.523475204,-0.2417036119433266,0.8903068830492099,0.38591840843467196,0.9908872180801098,-0.13423964824003046,-0.01105612435954746,False,1361.0,9153131.070885612,-0.022434531464213838,3.5713930685154267,False,373427943.89418554,False,0.33331232266558936,78.99502047174468,0.0,-1.6047994760668147e-06,7.313701178891493e-08,-5.859435431307784e-06,0.0
1500.0,11272290.793250524,-345876.40312496317,-679146.7075661486,4579.82591809681,2587.770847999064,5176.141659732763,11167167.954253603,-1574334.8104296564,-679146.7075661486,-0.06037585802341538,-0.14005587313054949,4919967.274423373,4919889.839419223,-0.24171482478718365,0.8903043203826869,0.3859172975988809,0.9908295499980866,-0.13460000873417582,-0.011816958125885953,False,1361.0,9159867.72844524,0.02450294367886924,3.569141170476914,False,373174317.523804,False,0.3187003076947027,75.53197292364455,0.0,-1.0099971588904374e-06,3.099052276868394e-08,-5.552578549367531e-06,0.0
1560.0,11541547.646310857,-190466.6690005716,-368297.0986134421,4396.6942963770325,2592.0904610237153,5184.586796414201,11445330.342171088,-1499337.5145849262,-368297.0986134421,-0.03201365930390106,-0.13025819359293475,5170877.924260918,5170856.132602986,-0.24172603759881992,0.8903017575972698,0.3859161867115531,0.9907715029309737,-0.13495764492426407,-0.012580264559849019,False,1361.0,9178531.01347374,0.0706415442822554,3.567141363953237,False,372932122.12186956,False,0.3049997200899618,72.28493366132095,0.0,-5.024572418685133e-07,8.291899847980966e-09,-5.239341851952151e-06,0.0
1620.0,11800046.118566966,-34877.76803983396,-57100.59203110507,4221.1628697307415,2593.797870891975,5187.814544426683,11713695.024422547,-1425360.9135335593,-57100.59203110507,-0.004856527865495873,-0.12108798589479217,5422099.318696893,5422098.816992009,-0.24173725037823385,0.8902991946929589,0.3859150757726888,0.9907131290169728,-0.13531224735358183,-0.01334510058118822,False,1361.0,9208724.599669492,0.11590836680769463,3.5653814447062886,True,372700870.5293927,False,0.29215028494749584,69.23961753255651,0.0,-7.152012472277942e-08,2.1139428568301336e-10,-4.9264440731836775e-06,0.0
1680.0,12048233.052239003,120743.06802836765,254148.7757115973,4052.9243189127646,2593.203634328143,5186.446192850267,11972690.51754758,-1352471.9370720948,254148.7757115973,0.021165055205448396,-0.11248622634127572,5673390.696800466,5673381.168668086,-0.241748463125424,0.8902966316697545,0.38591396478228823,0.9906544757066654,-0.13566355400585695,-0.014110629923980456,False,1361.0,9250012.294764569,0.1602385892453148,3.5638507242531903,True,372480095.5526343,False,0.28009423319318966,66.38233326678595,0.0,2.9252296152128093e-07,2.9315601457642668e-09,-4.618819939077126e-06,0.0
