array_area_m2,battery_capacity_kwh,min_soc,final_soc,unserved_energy_j,curtailed_energy_j
4.0,3.0,0.7308005645833333,1.0,0.0,15261670.09731459
4.0,4.5,0.7538670430555555,1.0,0.0,14181670.097314553
4.0,6.0,0.7654002822916667,1.0,0.0,13101670.097318426
5.0,3.0,0.7308449074074074,1.0,0.0,53129145.354378656
5.0,4.5,0.7538966049382716,1.0,0.0,52049145.354378715
5.0,6.0,0.7654224537037037,1.0,0.0,50969145.35437723
6.0,3.0,0.7308449074074074,1.0,0.0,90996293.42525962
6.0,4.5,0.7538966049382716,1.0,0.0,89916293.42525944
6.0,6.0,0.7654224537037037,1.0,0.0,88836293.42525923
7.0,3.0,0.7308449074074074,1.0,0.0,128863441.49612656
7.0,4.5,0.7538966049382716,1.0,0.0,127783441.49612664
7.0,6.0,0.7654224537037037,1.0,0.0,126703441.49612743
