t_s,gs_range_m,gs_elevation_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,xband_range_m,xband_frequency_hz,xband_data_rate_bps,xband_tx_power_w,xband_tx_gain_dbi,xband_rx_gain_dbi,xband_eirp_dbw,xband_g_over_t_db_per_k,xband_fspl_db,xband_propagation_loss_db,xband_implementation_loss_db,xband_carrier_power_dbw,xband_noise_density_dbw_hz,xband_cn0_db_hz,xband_ebn0_db,xband_required_ebn0_db,xband_margin_db,xband_margin_threshold_db,xband_geometry_flag,xband_margin_ok_flag,xband_available_flag,xband_active_rate_bps,xband_volume_bits,xband_cumulative_volume_bits,uhf_range_m,uhf_frequency_hz,uhf_data_rate_bps,uhf_tx_power_w,uhf_tx_gain_dbi,uhf_rx_gain_dbi,uhf_eirp_dbw,uhf_g_over_t_db_per_k,uhf_fspl_db,uhf_propagation_loss_db,uhf_implementation_loss_db,uhf_carrier_power_dbw,uhf_noise_density_dbw_hz,uhf_cn0_db_hz,uhf_ebn0_db,uhf_required_ebn0_db,uhf_margin_db,uhf_margin_threshold_db,uhf_geometry_flag,uhf_margin_ok_flag,uhf_available_flag,uhf_active_rate_bps,uhf_volume_bits,uhf_cumulative_volume_bits
0.0,12297673.03536366,-1.1771974329649066,False,383952102.09101576,False,12297673.03536366,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.72982778409303,3.2,2.0,-104.32431009344461,-206.83825458266085,102.51394448921624,20.513944489216243,5.0,15.513944489216243,3.0,False,True,False,0.0,0.0,0.0,383952102.09101576,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.1975744902085,2.5,2.0,-147.71817440348812,-201.60946712985748,53.89129272636936,11.891292726369358,6.0,5.8912927263693575,3.0,True,True,True,10000.0,600000.0,600000.0
60.0,12097661.482703095,-1.1343598938220554,False,383359998.8070728,False,12097661.482703095,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.58739750100133,3.2,2.0,-104.18187981035291,-206.83825458266085,102.65637477230794,20.65637477230794,5.0,15.656374772307942,3.0,False,True,False,0.0,0.0,0.0,383359998.8070728,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.18416939782574,2.5,2.0,-147.70476931110537,-201.60946712985748,53.90469781875211,11.904697818752112,6.0,5.904697818752112,3.0,True,True,True,10000.0,600000.0,1200000.0
120.0,11896532.73575895,-1.0904986954830067,False,382772161.3663046,False,11896532.73575895,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.4417770228341,3.2,2.0,-104.03625933218567,-206.83825458266085,102.80199525047519,20.801995250475187,5.0,15.801995250475187,3.0,False,True,False,0.0,0.0,0.0,382772161.3663046,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.170840386454,2.5,2.0,-147.6914402997336,-201.60946712985748,53.918026830123864,11.918026830123864,6.0,5.918026830123864,3.0,True,True,True,10000.0,600000.0,1800000.0
180.0,11695234.786899084,-1.0457500871917573,False,382191067.4117517,False,11695234.786899084,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.2935478407678,3.2,2.0,-103.88803015011936,-206.83825458266085,102.95022443254149,20.95022443254149,5.0,15.95022443254149,3.0,False,True,False,0.0,0.0,0.0,382191067.4117517,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.15764414710662,2.5,2.0,-147.67824406038625,-201.60946712985748,53.93122306947123,11.93122306947123,6.0,5.93122306947123,3.0,True,True,True,10000.0,600000.0,2400000.0
240.0,11494817.597770313,-1.0002220882154507,False,381619021.3540494,False,11494817.597770313,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.1434106267618,3.2,2.0,-103.73789293611338,-206.83825458266085,103.10036164654747,21.10036164654747,5.0,16.10036164654747,3.0,False,True,False,0.0,0.0,0.0,381619021.3540494,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.14463376683756,2.5,2.0,-147.66523368011718,-201.60946712985748,53.944233449740295,11.944233449740295,6.0,5.944233449740295,3.0,True,True,True,10000.0,600000.0,3000000.0
300.0,11296403.334307518,-0.9540021645125342,False,381058093.83354014,False,11296403.334307518,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.99217274960023,3.2,2.0,-103.5866550589518,-206.83825458266085,103.25159952370905,21.251599523709046,5.0,16.251599523709046,3.0,False,True,False,0.0,0.0,0.0,381058093.83354014,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.1318573105376,2.5,2.0,-147.65245722381724,-201.60946712985748,53.95700990604024,11.957009906040241,6.0,5.957009906040241,3.0,True,True,True,10000.0,600000.0,3600000.0
360.0,11101154.85119601,-0.9071625223107403,False,380510078.8237942,False,11101154.85119601,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.84073215743632,3.2,2.0,-103.4352144667879,-206.83825458266085,103.40304011587295,21.403040115872955,5.0,16.403040115872955,3.0,False,True,False,0.0,0.0,0.0,380510078.8237942,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.11935679151085,2.5,2.0,-147.63995670479048,-201.60946712985748,53.969510425067,11.969510425067,6.0,5.969510425067,3.0,True,True,True,10000.0,600000.0,4200000.0
420.0,10910244.915557638,-0.8597641292265157,False,379976469.6813174,False,10910244.915557638,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.69005893982157,3.2,2.0,-103.28454124917315,-206.83825458266085,103.5537133334877,21.553713333487707,5.0,16.553713333487707,3.0,False,True,False,0.0,0.0,0.0,379976469.6813174,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.10716756635978,2.5,2.0,-147.6277674796394,-201.60946712985748,53.981699650218076,11.981699650218076,6.0,5.981699650218076,3.0,True,True,True,10000.0,600000.0,4800000.0
480.0,10724828.132488793,-0.8118600542353811,False,379458453.1452962,False,10724828.132488793,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.5411757682566,3.2,2.0,-103.13565807760818,-206.83825458266085,103.70259650505267,21.702596505052668,5.0,16.702596505052668,3.0,False,True,False,0.0,0.0,0.0,379458453.1452962,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.09531813719826,2.5,2.0,-147.6159180504779,-201.60946712985748,53.99354907937959,11.99354907937959,6.0,5.993549079379591,3.0,True,True,True,10000.0,600000.0,5400000.0
540.0,10546016.830768235,-0.763498412586621,False,378956918.58138967,False,10546016.830768235,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.3951381451652,3.2,2.0,-102.98962045451677,-206.83825458266085,103.84863412814408,21.848634128144084,5.0,16.848634128144084,3.0,False,True,False,0.0,0.0,0.0,378956918.58138967,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.08383030435846,2.5,2.0,-147.60443021763808,-201.60946712985748,54.005036912219396,12.005036912219396,6.0,6.005036912219396,3.0,True,True,True,10000.0,600000.0,6000000.0
