array_area_m2,battery_capacity_kwh,min_soc,final_soc,unserved_energy_j,curtailed_energy_j
4.0,3.0,0.7503667569444444,1.0,0.0,15387120.967080103
4.0,4.5,0.7669111712962963,1.0,0.0,14307120.967080103
4.0,6.0,0.7751833784722222,1.0,0.0,13227120.967080113
5.0,3.0,0.7508101851851852,1.0,0.0,53348381.77515019
5.0,4.5,0.7672067901234568,1.0,0.0,52268381.77515019
5.0,6.0,0.7754050925925926,1.0,0.0,51188381.77515033
6.0,3.0,0.7508101851851852,1.0,0.0,91299914.24343987
6.0,4.5,0.7672067901234568,1.0,0.0,90219914.24343987
6.0,6.0,0.7754050925925926,1.0,0.0,89139914.24343978
7.0,3.0,0.7508101851851852,1.0,0.0,129248574.95067945
7.0,4.5,0.7672067901234568,1.0,0.0,128168574.95067945
7.0,6.0,0.7754050925925926,1.0,0.0,127088574.95067945
